iter	Passed	Remaining
0	47	47326
1	48	24378
2	49	16581
3	51	12700
4	51	10277
5	52	8685
6	53	7572
7	54	6717
8	55	6058
9	55	5523
10	56	5085
11	57	4735
12	58	4441
13	59	4193
14	60	3965
15	61	3773
16	62	3594
17	62	3436
18	63	3296
19	64	3167
20	65	3048
21	66	2944
22	67	2849
23	67	2762
24	68	2680
25	69	2607
26	70	2537
27	71	2475
28	72	2414
29	72	2355
30	73	2301
31	74	2251
32	75	2202
33	75	2153
34	76	2113
35	77	2068
36	77	2027
37	78	1988
38	79	1950
39	79	1912
40	80	1878
41	80	1843
42	81	1810
43	81	1778
44	82	1746
45	82	1716
46	83	1688
47	83	1661
48	84	1633
49	84	1608
50	85	1584
51	85	1559
52	86	1536
53	86	1514
54	86	1493
55	87	1472
56	87	1451
57	88	1432
58	88	1412
59	88	1392
60	89	1373
61	89	1356
62	90	1338
63	90	1321
64	90	1305
65	91	1288
66	91	1272
67	91	1254
68	91	1239
69	92	1224
70	92	1210
71	92	1196
72	93	1182
73	93	1168
74	93	1154
75	93	1141
76	94	1128
77	94	1116
78	94	1103
79	94	1091
80	95	1079
81	95	1068
82	95	1056
83	95	1045
84	96	1033
85	96	1023
86	96	1011
87	96	1001
88	96	991
89	97	981
90	97	971
91	97	962
92	97	953
93	97	944
94	98	935
95	98	927
96	98	918
97	98	910
98	99	902
99	99	894
100	99	886
101	99	878
102	99	870
103	100	863
104	100	856
105	100	850
106	101	843
107	101	836
108	101	829
109	101	823
110	102	817
111	102	811
112	102	804
113	102	798
114	102	792
115	103	785
116	103	780
117	103	774
118	103	768
119	103	762
120	104	757
121	104	751
122	104	745
123	104	740
124	105	735
125	105	730
126	105	725
127	105	720
128	106	715
129	106	711
130	106	706
131	106	701
132	106	697
133	107	692
134	107	688
135	107	683
136	107	679
137	108	674
138	108	670
139	108	666
140	108	662
141	108	658
142	109	654
143	109	650
144	109	646
145	109	642
146	110	639
147	110	635
148	110	631
149	110	628
150	111	624
151	111	620
152	111	617
153	111	613
154	111	610
155	112	606
156	112	603
157	112	600
158	112	596
159	113	593
160	113	590
161	113	587
162	113	584
163	114	581
164	114	578
165	114	575
166	114	572
167	115	569
168	115	566
169	115	564
170	115	561
171	115	558
172	116	555
173	116	552
174	116	550
175	116	547
176	117	544
177	117	541
178	117	539
179	117	536
180	117	533
181	118	530
182	118	528
183	118	525
