iter	Passed	Remaining
0	49	49744
1	50	25016
2	50	16755
3	50	12615
4	50	10132
5	51	8471
6	51	7291
7	51	6402
8	52	5736
9	52	5199
10	52	4758
11	53	4392
12	53	4067
13	53	3797
14	54	3574
15	54	3381
16	55	3196
17	55	3031
18	55	2883
19	56	2749
20	56	2627
21	56	2516
22	56	2417
23	57	2323
24	57	2236
25	57	2156
26	57	2081
27	58	2015
28	58	1951
29	58	1891
30	58	1837
31	59	1785
32	59	1740
33	59	1694
34	59	1650
35	60	1609
36	60	1571
37	60	1536
38	61	1509
39	61	1483
40	62	1453
41	62	1425
42	62	1399
43	63	1376
44	63	1352
45	63	1327
46	64	1302
47	64	1279
48	64	1256
49	64	1234
50	65	1217
51	65	1198
52	66	1182
53	66	1163
54	66	1147
55	67	1132
56	67	1115
57	67	1102
58	68	1090
59	68	1079
60	69	1068
61	69	1058
62	70	1048
63	71	1040
64	71	1028
65	71	1018
66	72	1007
67	72	997
68	73	988
69	75	999
70	75	986
71	75	977
72	76	969
73	76	958
74	76	947
75	77	937
76	77	928
77	79	945
78	81	944
79	82	949
80	83	942
81	83	935
82	83	926
83	84	920
84	84	913
85	85	907
86	86	903
87	86	897
88	89	917
89	90	911
90	90	905
91	91	901
92	91	895
93	92	891
94	93	886
95	93	881
96	94	878
97	95	875
98	95	872
99	96	870
100	97	867
101	98	868
102	99	866
103	100	864
104	101	862
105	102	861
106	103	860
107	104	859
108	104	857
109	106	859
110	110	882
111	111	883
112	112	883
113	114	888
114	116	893
115	117	897
116	119	900
117	122	915
118	123	915
119	124	913
120	125	911
121	126	908
122	127	906
123	128	904
124	128	902
125	129	900
126	130	897
127	131	895
128	134	906
129	135	905
130	136	903
131	137	901
132	138	899
133	139	898
134	140	897
135	141	896
136	142	894
137	143	893
138	143	891
139	145	890
140	145	889
141	148	896
142	149	897
143	150	897
144	152	897
145	153	898
146	154	898
147	156	900
148	157	900
149	158	900
150	160	901
151	162	903
152	163	903
153	164	903
154	167	915
155	169	915
156	170	915
157	171	914
158	172	914
159	174	913
160	174	911
161	176	911
162	177	910
163	181	923
164	182	924
165	184	924
166	185	924
167	186	923
168	187	923
169	188	922
170	192	932
171	193	932
172	194	932
173	196	931
174	197	932
175	198	931
176	200	930
177	201	929
178	204	938
179	206	940
180	208	942
181	209	943
182	211	943
183	212	943
184	214	943
185	216	946
186	216	941
187	216	936
188	217	932
189	217	927
190	217	922
191	217	917
192	218	912
193	218	907
194	218	903
195	219	898
196	219	893
197	219	889
198	219	885
199	220	880
200	220	877
201	221	873
202	221	868
203	221	865
204	221	860
205	222	856
206	222	852
207	222	849
208	223	845
209	223	841
210	223	837
211	224	833
212	224	829
213	224	825
214	225	822
215	225	818
216	225	814
217	226	810
218	226	807
219	226	803
220	226	799
221	227	796
222	227	792
223	227	789
224	228	786
225	228	783
226	229	779
227	229	776
228	229	773
229	230	770
230	233	777
231	233	774
232	234	771
233	234	769
234	235	766
235	235	763
236	236	760
237	236	758
238	237	755
239	237	752
240	237	749
241	238	747
242	239	747
243	240	744
244	240	742
245	241	739
246	241	736
247	241	733
248	243	733
249	243	730
250	244	729
251	244	726
252	245	725
253	245	722
254	246	719
255	246	716
256	246	713
257	247	710
258	250	717
259	251	714
260	252	714
261	252	711
262	254	711
263	254	710
264	255	707
265	255	705
266	256	704
267	256	701
268	257	700
269	258	698
270	258	696
271	261	698
272	262	699
273	264	700
274	264	698
275	266	699
276	267	698
277	268	697
278	270	697
279	271	697
280	271	695
281	272	693
282	273	692
283	274	691
284	275	690
285	275	688
286	276	685
287	276	683
288	276	680
289	279	683
290	279	681
291	280	679
292	281	678
293	282	677
294	283	677
295	284	677
296	285	675
297	285	673
298	286	672
299	288	672
300	288	670
301	289	668
302	291	669
